,price
0,4200
1,4999
2,13900
3,45000
4,97500
5,29950
6,28500
7,12500
8,62890
9,4000
10,7950
11,19000
12,51500
13,12300
14,56900
15,44900
16,68500
17,55000
18,9999
19,46900
20,41998
21,16500
22,9900
23,76000
24,33687
25,29000
26,25900
27,38000
28,3499
29,17900
30,39499
31,104900
32,64000
33,15000
34,87000
35,23000
36,165000
37,45000
38,28000
39,63900
40,12000
41,30000
42,32000
43,244896
44,145000
45,42599
46,10000
47,49999
48,26500
49,34500
50,21000
51,59598
52,53600
53,16000
54,33200
55,53900
56,27000
57,32900
58,8000
59,4900
60,29999
61,23500
62,98900
63,10000
64,36800
65,193063
66,47500
67,99000
68,7500
69,30500
70,92500
71,32000
72,65998
73,48000
74,54500
75,63000
76,13999
77,22000
78,8500
79,55000
80,95000
81,11999
82,43500
83,6700
84,53900
85,27599
86,18750
87,27899
88,9500
89,29500
90,39995
91,24995
92,4500
93,4900
94,29900
95,15999
96,8300
97,26500
98,9500
99,39000
100,17500
101,65000
102,13490
103,62500
104,6800
105,41950
106,92500
107,45000
108,22000
109,29500
110,87500
111,29998
112,17498
113,10900
114,16800
115,9995
116,95000
117,13999
118,54000
119,11000
120,7000
121,41927
122,19425
123,43663
124,17999
125,27500
126,18749
127,12900
128,15900
129,18000
130,16000
131,18000
132,29000
133,3900
134,32455
135,6500
136,6500
137,26000
138,36500
139,27671
140,16500
141,5700
142,51500
143,28495
144,29995
145,46750
146,71200
147,33995
148,26500
149,51900
150,29995
151,11000
152,24999
153,19000
154,13250
155,101000
156,40000
157,27500
158,24700
159,36000
160,7945
161,89999
162,15900
163,55000
164,29645
165,39500
166,12750
167,31000
168,17000
169,62499
170,18900
171,52500
172,52500
173,31000
174,83500
175,15000
176,52999
177,9999
178,20995
179,8900
180,21500
181,15400
182,9500
183,15750
184,54500
185,32500
186,48000
187,5990
188,39900
189,28895
190,50000
191,60995
192,13500
193,8900
194,32750
195,7200
196,21000
197,39000
198,33950
199,89000
200,17000
201,28500
202,80140
203,49900
204,18000
205,48900
206,36000
207,14900
208,28500
209,29950
210,28000
211,60000
212,24991
213,73897
214,4900
215,88950
216,12500
217,99950
218,110000
219,27000
220,2954083
221,9000
222,5500
223,74900
224,8300
225,43000
226,10999
227,52000
228,37698
229,17800
230,40999
231,62890
232,32750
233,46599
234,56000
235,16000
236,15550
237,39998
238,17800
239,37050
240,29000
241,14490
242,34900
243,62500
244,69000
245,27899
246,29900
247,57000
248,15000
249,29950
250,23500
251,124900
252,22000
253,35500
254,11000
255,34700
256,50658
257,55000
258,12000
259,40000
260,43000
261,57999
262,6700
263,48000
264,9500
265,15500
266,22000
267,315000
268,29800
269,48500
270,12800
271,44798
272,47500
273,16500
274,35900
275,6000
276,12000
277,26485
278,37500
279,24500
280,27890
281,10000
282,40798
283,267950
284,24590
285,38000
286,31599
287,15995
288,12468
289,47598
290,22500
291,38698
292,140000
293,20000
294,96850
295,33000
296,489000
297,26999
298,21800
299,54500
300,49900
301,16000
302,20000
303,31450
304,30999
305,3850
306,6000
307,19980
308,7500
309,42900
310,87500
311,51500
312,32769
313,30000
314,7500
315,175000
316,32500
317,25215
318,17200
319,58900
320,8500
321,30919
322,42950
323,62450
324,25500
325,38490
326,16000
327,22989
328,93999
329,38000
330,33172
331,13600
332,10999
333,6000
334,53000
335,26299
336,17000
337,8995
338,99000
339,5995
340,48000
341,30427
342,22995
343,44791
344,69900
345,9995
346,17900
347,5500
348,2300
349,146000
350,349950
351,61000
352,73500
353,26000
354,166900
355,31000
356,39777
357,53722
358,69000
359,24500
360,33490
361,35900
362,36500
363,38598
364,29430
365,10500
366,24500
367,34900
368,63500
369,59500
370,6800
371,12980
372,13715
373,31000
374,26000
375,79999
376,37698
377,39998
378,21500
379,97500
380,145000
381,6399
382,68420
383,62000
384,77430
385,57000
386,17200
387,15000
388,30000
389,17900
390,17500
391,197750
392,24899
393,85989
394,3600
395,34000
396,57850
397,16500
398,20950
399,44900
400,9999
401,29950
402,11999
403,39777
404,8500
405,55000
406,8000
407,32500
408,16000
409,16000
410,62999
411,47995
412,12500
413,29000
414,33000
415,48889
416,22000
417,275000
418,14500
419,39860
420,25000
421,92500
422,47999
423,17900
424,10499
425,37000
426,88950
427,43550
428,10000
429,22999
430,65700
431,34000
432,29000
433,449995
434,40100
435,9000
436,46750
437,36570
438,16000
439,5800
440,24900
441,130000
442,7500
443,55000
444,24500
445,31700
446,76740
447,26499
448,250000
449,16900
450,21495
451,49999
452,28600
453,14000
454,50000
455,28000
456,2800
457,36500
458,32300
459,131999
460,91000
461,29995
462,2300
463,26125
464,27500
465,70250
466,46500
467,10500
468,71000
469,11499
470,75499
471,19990
472,29725
473,28500
474,39100
475,37000
476,7999
477,25500
478,20900
479,58000
480,12000
481,275000
482,47999
483,41500
484,20708
485,26800
486,52999
487,107900
488,43000
489,38900
490,25800
491,15000
492,23400
493,38000
494,78990
495,15000
496,16500
497,52590
498,30000
499,49990
500,12500
501,42500
502,12990
503,59000
504,112500
505,75000
506,10500
507,47124
508,46900
509,94999
510,22000
511,13800
512,18400
513,30825
514,39990
515,29950
516,15500
517,5500
518,50000
519,46000
520,50000
521,64600
522,15500
523,16999
524,34645
525,21250
526,15999
527,92888
528,11970
529,22500
530,19500
531,6399
532,48000
533,30000
534,42998
535,6880
536,39000
537,7899
538,78500
539,85500
540,58000
541,349950
542,38322
543,42000
544,30950
545,41598
546,33700
547,11900
548,22000
549,29500
550,48698
551,21500
552,31953
553,49900
554,42999
555,9500
556,32500
557,69250
558,17550
559,45277
560,49900
561,47449
562,108900
563,49995
564,45999
565,41500
566,43500
567,16600
568,21000
569,84500
570,18500
571,39995
572,65000
573,31000
574,23999
575,27500
576,4700
577,51900
578,11500
579,94999
580,417500
581,12900
582,18700
583,143900
584,24500
585,21000
586,14999
587,78000
588,34000
589,58900
590,18500
591,41598
592,42886
593,13000
594,99950
595,75000
596,23500
597,20150
598,40000
599,84999
600,74500
601,45000
602,30000
603,37899
604,44600
605,73600
606,45000
607,56900
608,44900
609,45770
610,6450
611,279950
612,29995
613,64000
614,43640
615,35000
616,60000
617,28000
618,173995
619,62000
620,18500
621,43000
622,31500
623,10995
624,14900
625,5800
626,69995
627,25000
628,116999
629,23998
630,21000
631,33490
632,23500
633,42500
634,23000
635,99750
636,46900
637,32000
638,43449
639,15550
640,18500
641,59950
642,19995
643,34084
644,38298
645,10500
646,13980
647,15550
648,22800
649,32000
650,36000
651,64995
652,239995
653,45000
654,8900
655,18950
656,7700
657,28750
658,91000
659,16750
660,62890
661,14500
662,3999
663,20000
664,89900
665,115999
666,30000
667,26990
668,6299
669,20500
670,74500
671,64250
672,53000
673,53500
674,25900
675,28900
676,73000
677,18795
678,28000
679,17000
680,25000
681,48950
682,28324
683,12500
684,59000
685,5230
686,11000
687,23500
688,45000
689,68495
690,51890
691,11500
692,36950
693,40900
694,41500
695,26999
696,13999
697,31000
698,399900
699,71000
700,23999
701,47500
702,86999
703,27875
704,27900
705,63000
706,21000
707,8700
708,59980
709,33999
710,21500
711,38405
712,11995
713,45900
714,9500
715,139000
716,105000
717,53500
718,254900
719,44596
720,13600
721,57480
722,7999
723,59950
724,23000
725,11000
726,21000
727,51598
728,18900
729,11400
730,239995
731,13500
732,93999
733,15400
734,16995
735,23000
736,48000
737,13500
738,11500
739,16500
740,9900
741,46552
742,42998
743,23000
744,6500
745,166900
746,29999
747,41999
748,29500
749,10500
750,23900
751,51000
752,11500
753,8500
754,19600
755,7100
756,17000
